languagerepresentation,length,time
node-BitString,16,0.032117729
node-BitString,32,0.050894419
node-BitString,64,0.090131259
node-BitString,128,0.173591996
node-BitString,256,0.338841745
node-BitString,512,0.669951801
node-BitString,1024,1.343738965
node-BitString,2048,2.661463661
node-BitString,4096,5.334807623
node-BitString,8192,10.656344426
node-BitString,16384,21.35924739
node-BitString,32768,45.279046917
node-BitString,65536,89.696068067
lua-BitString,16,0.482718
lua-BitString,32,1.020274
lua-BitString,64,1.989587
lua-BitString,128,3.681755
lua-BitString,256,8.097873
lua-BitString,512,17.297089
lua-BitString,1024,36.888123
lua-BitString,2048,87.791264
lua-BitString,4096,219.725184
lua-BitString,8192,596.052684
lua-BitString,16384,1783.868821
perl-BitString,16,3.589466
perl-BitString,32,4.210332
perl-BitString,64,5.324933
perl-BitString,128,7.231471
perl-BitString,256,11.279491
perl-BitString,512,19.22345
perl-BitString,1024,35.114173
perl-BitString,2048,66.863256
perl-BitString,4096,131.021463
perl-BitString,8192,260.261898
perl-BitString,16384,516.282376
perl-BitString,32768,1029.909608
perl5.20-BitString,16,0.16806
perl5.20-BitString,32,0.272372
perl5.20-BitString,64,0.489
perl5.20-BitString,128,0.907606
perl5.20-BitString,256,1.701757
perl5.20-BitString,512,3.336159
perl5.20-BitString,1024,6.623077
perl5.20-BitString,2048,13.058349
perl5.20-BitString,4096,25.76566
perl5.20-BitString,8192,52.35834
perl5.20-BitString,16384,105.121042
perl5.20-BitString,32768,208.172891
Scala-BitString,16,0.106083361
Scala-BitString,32,0.138533372
Scala-BitString,64,0.263253553
Scala-BitString,128,0.505751517
Scala-BitString,256,1.070102061
Scala-BitString,512,2.033624344
Scala-BitString,1024,3.99146544
Scala-BitString,2048,8.325956743
Scala-BitString,4096,16.25921805
Scala-BitString,8192,32.141293477
Scala-BitString,16384,64.932744401
Scala-BitString,32768,129.33726306
Scala-BitString,65536,255.591937452
C++-BitString,16,0.320763
C++-BitString,32,0.582954
C++-BitString,64,1.13898
C++-BitString,128,2.21816
C++-BitString,256,4.3551
C++-BitString,512,8.63622
C++-BitString,1024,17.3216
C++-BitString,2048,34.5093
C++-BitString,4096,68.5846
C++-BitString,8192,137.109
C++-BitString,16384,275.517
C++-BitString,32768,545.012
C++-BitString,65536,1079.13
perl5.22-BitString,16,0.164675
perl5.22-BitString,32,0.273791
perl5.22-BitString,64,0.488514
perl5.22-BitString,128,0.912635
perl5.22-BitString,256,1.760886
perl5.22-BitString,512,3.380692
perl5.22-BitString,1024,6.563524
perl5.22-BitString,2048,13.081961
perl5.22-BitString,4096,26.193001
perl5.22-BitString,8192,52.089011
perl5.22-BitString,16384,103.609272
perl5.22-BitString,32768,209.121516
Go-BitVector,16,0.103817804
Go-BitVector,32,0.1843323
Go-BitVector,64,0.337457361
Go-BitVector,128,0.638677202
Go-BitVector,256,1.238751016
Go-BitVector,512,2.400940805
Go-BitVector,1024,4.733068376
Go-BitVector,2048,9.589567408
Go-BitVector,4096,19.083063225
Go-BitVector,8192,37.943428136
Go-BitVector,16384,74.034972572
Go-BitVector,32768,147.824960979
C-char[],16,0.014778
C-char[],32,0.023213
C-char[],64,0.043976
C-char[],128,0.085193
C-char[],256,0.168039
C-char[],512,0.334151
C-char[],1024,0.667286
C-char[],2048,1.329405
C-char[],4096,2.654057
C-char[],8192,5.295050
C-char[],16384,10.588549
C-char[],32768,21.237932
